Set,,Reset,
0,1.88E-09,0,1.29E-07
0.0037,9.05E-09,-0.003,3.22E-07
0.0075,1.58E-08,-0.006,5.20E-07
0.0112,2.32E-08,-0.009,7.21E-07
0.015,3.06E-08,-0.012,9.19E-07
0.0187,3.82E-08,-0.015,1.11E-06
0.0225,4.60E-08,-0.018,1.31E-06
0.0262,5.44E-08,-0.021,1.52E-06
0.03,6.24E-08,-0.024,1.72E-06
0.0338,7.16E-08,-0.027,1.92E-06
0.0375,7.97E-08,-0.03,2.13E-06
0.0412,9.02E-08,-0.033,2.33E-06
0.045,9.96E-08,-0.036,2.53E-06
0.0487,1.10E-07,-0.039,2.73E-06
0.0525,1.19E-07,-0.042,2.94E-06
0.0562,1.32E-07,-0.045,3.15E-06
0.06,1.43E-07,-0.048,3.36E-06
0.0637,1.55E-07,-0.051,3.57E-06
0.0675,1.68E-07,-0.054,3.78E-06
0.0712,1.81E-07,-0.057,3.98E-06
0.075,1.94E-07,-0.06,4.18E-06
0.0787,2.08E-07,-0.063,4.41E-06
0.0825,2.24E-07,-0.066,4.63E-06
0.0862,2.38E-07,-0.069,4.84E-06
0.09,2.52E-07,-0.072,5.07E-06
0.0937,2.68E-07,-0.075,5.29E-06
0.0975,2.84E-07,-0.078,5.50E-06
0.1013,3.02E-07,-0.081,5.72E-06
0.105,3.20E-07,-0.084,5.95E-06
0.1087,3.35E-07,-0.087,6.19E-06
0.1125,3.59E-07,-0.09,6.40E-06
0.1163,3.80E-07,-0.093,6.65E-06
0.12,3.99E-07,-0.096,6.92E-06
0.1237,4.20E-07,-0.099,7.14E-06
0.1275,4.43E-07,-0.102,7.37E-06
0.1312,4.68E-07,-0.105,7.64E-06
0.135,4.89E-07,-0.108,7.86E-06
0.1388,5.14E-07,-0.111,8.11E-06
0.1425,5.40E-07,-0.114,8.33E-06
0.1462,5.66E-07,-0.117,8.65E-06
0.15,5.90E-07,-0.12,8.83E-06
0.1537,6.23E-07,-0.123,9.06E-06
0.1575,6.49E-07,-0.126,9.36E-06
0.1612,6.77E-07,-0.129,9.56E-06
0.165,7.11E-07,-0.132,9.84E-06
0.1688,7.41E-07,-0.135,1.02E-05
0.1725,7.70E-07,-0.138,1.04E-05
0.1762,8.07E-07,-0.141,1.06E-05
0.18,8.40E-07,-0.144,1.09E-05
0.1837,8.76E-07,-0.147,1.12E-05
0.1875,9.06E-07,-0.15,1.15E-05
0.1912,9.52E-07,-0.153,1.18E-05
0.195,9.83E-07,-0.156,1.21E-05
0.1988,1.02E-06,-0.159,1.24E-05
0.2025,1.06E-06,-0.162,1.27E-05
0.2062,1.10E-06,-0.165,1.30E-05
0.21,1.13E-06,-0.168,1.32E-05
0.2137,1.17E-06,-0.171,1.35E-05
0.2175,1.22E-06,-0.174,1.38E-05
0.2212,1.26E-06,-0.177,1.42E-05
0.225,1.30E-06,-0.18,1.45E-05
0.2287,1.35E-06,-0.183,1.48E-05
0.2325,1.40E-06,-0.186,1.51E-05
0.2362,1.45E-06,-0.189,1.54E-05
0.24,1.50E-06,-0.192,1.58E-05
0.2437,1.55E-06,-0.195,1.61E-05
0.2475,1.60E-06,-0.198,1.64E-05
0.2512,1.64E-06,-0.201,1.67E-05
0.255,1.69E-06,-0.204,1.71E-05
0.2587,1.73E-06,-0.207,1.74E-05
0.2625,1.79E-06,-0.21,1.78E-05
0.2662,1.85E-06,-0.213,1.81E-05
0.27,1.91E-06,-0.216,1.85E-05
0.2737,1.95E-06,-0.219,1.89E-05
0.2775,2.01E-06,-0.222,1.92E-05
0.2812,2.07E-06,-0.225,1.96E-05
0.285,2.13E-06,-0.228,2.00E-05
0.2887,2.18E-06,-0.231,2.03E-05
0.2925,2.23E-06,-0.234,2.07E-05
0.2962,2.30E-06,-0.237,2.11E-05
0.3,2.35E-06,-0.24,2.15E-05
0.3038,2.41E-06,-0.243,2.19E-05
0.3075,2.49E-06,-0.246,2.23E-05
0.3113,2.54E-06,-0.249,2.26E-05
0.315,2.59E-06,-0.252,2.31E-05
0.3187,2.67E-06,-0.255,2.35E-05
0.3225,2.73E-06,-0.258,2.39E-05
0.3262,2.82E-06,-0.261,2.44E-05
0.33,2.88E-06,-0.264,2.48E-05
0.3337,2.95E-06,-0.267,2.53E-05
0.3375,3.03E-06,-0.27,2.57E-05
0.3412,3.09E-06,-0.273,2.62E-05
0.345,3.16E-06,-0.276,2.66E-05
0.3487,3.23E-06,-0.279,2.71E-05
0.3525,3.32E-06,-0.282,2.76E-05
0.3562,3.39E-06,-0.285,2.80E-05
0.36,3.47E-06,-0.288,2.85E-05
0.3638,3.55E-06,-0.291,2.91E-05
0.3675,3.62E-06,-0.294,2.95E-05
0.3713,3.71E-06,-0.297,3.00E-05
0.375,3.79E-06,-0.3,3.05E-05
0.3787,3.87E-06,-0.303,3.11E-05
0.3825,3.96E-06,-0.306,3.15E-05
0.3862,4.04E-06,-0.309,3.21E-05
0.39,4.13E-06,-0.312,3.26E-05
0.3937,4.20E-06,-0.315,3.32E-05
0.3975,4.32E-06,-0.318,3.38E-05
0.4012,4.40E-06,-0.321,3.43E-05
0.405,4.49E-06,-0.324,3.49E-05
0.4087,4.55E-06,-0.327,3.54E-05
0.4125,4.65E-06,-0.33,3.61E-05
0.4162,4.75E-06,-0.333,3.67E-05
0.42,4.84E-06,-0.336,3.73E-05
0.4237,4.93E-06,-0.339,3.79E-05
0.4275,5.04E-06,-0.342,3.85E-05
0.4313,5.13E-06,-0.345,3.91E-05
0.435,5.21E-06,-0.348,3.98E-05
0.4387,5.31E-06,-0.351,4.04E-05
0.4425,5.40E-06,-0.354,4.10E-05
0.4462,5.49E-06,-0.357,4.16E-05
0.45,5.59E-06,-0.36,4.23E-05
0.4537,5.65E-06,-0.363,4.30E-05
0.4575,5.73E-06,-0.366,4.37E-05
0.4612,5.81E-06,-0.369,4.44E-05
0.465,5.90E-06,-0.372,4.52E-05
0.4687,6.04E-06,-0.375,4.60E-05
0.4725,6.14E-06,-0.378,4.67E-05
0.4762,6.27E-06,-0.381,4.76E-05
0.48,6.38E-06,-0.384,4.81E-05
0.4837,6.48E-06,-0.387,4.90E-05
0.4875,6.60E-06,-0.39,4.99E-05
0.4912,6.75E-06,-0.393,5.07E-05
0.495,6.82E-06,-0.396,5.14E-05
0.4988,6.97E-06,-0.399,5.24E-05
0.5025,7.05E-06,-0.402,5.29E-05
0.5062,7.17E-06,-0.405,5.39E-05
0.51,7.31E-06,-0.408,5.47E-05
0.5138,7.39E-06,-0.411,5.56E-05
0.5175,7.51E-06,-0.414,5.66E-05
0.5212,7.62E-06,-0.417,5.73E-05
0.525,7.75E-06,-0.42,5.84E-05
0.5288,7.89E-06,-0.423,5.91E-05
0.5325,8.03E-06,-0.426,6.04E-05
0.5362,8.13E-06,-0.429,6.11E-05
0.54,8.27E-06,-0.432,6.18E-05
0.5437,8.40E-06,-0.435,6.32E-05
0.5475,8.55E-06,-0.438,6.43E-05
0.5512,8.68E-06,-0.441,6.49E-05
0.555,8.84E-06,-0.444,6.63E-05
0.5587,9.00E-06,-0.447,6.71E-05
0.5625,9.11E-06,-0.45,6.82E-05
0.5663,9.23E-06,-0.453,6.90E-05
0.57,9.34E-06,-0.456,7.03E-05
0.5737,9.48E-06,-0.459,7.14E-05
0.5775,9.62E-06,-0.462,7.26E-05
0.5813,9.77E-06,-0.465,7.36E-05
0.585,9.91E-06,-0.468,7.48E-05
0.5887,1.01E-05,-0.471,7.57E-05
0.5925,1.02E-05,-0.474,7.70E-05
0.5962,1.03E-05,-0.477,7.84E-05
0.6,1.05E-05,-0.48,7.95E-05
0.6037,1.07E-05,-0.483,8.07E-05
0.6075,1.08E-05,-0.486,8.24E-05
0.6112,1.10E-05,-0.489,8.34E-05
0.615,1.11E-05,-0.492,8.50E-05
0.6187,1.13E-05,-0.495,8.58E-05
0.6225,1.14E-05,-0.498,8.71E-05
0.6262,1.16E-05,-0.501,8.82E-05
0.63,1.17E-05,-0.504,9.01E-05
0.6338,1.20E-05,-0.507,9.14E-05
0.6375,1.20E-05,-0.51,9.25E-05
0.6412,1.22E-05,-0.513,9.40E-05
0.645,1.25E-05,-0.516,9.55E-05
0.6488,1.26E-05,-0.519,9.67E-05
0.6525,1.28E-05,-0.522,9.79E-05
0.6562,1.30E-05,-0.525,9.99E-05
0.66,1.32E-05,-0.528,1.02E-04
0.6637,1.34E-05,-0.531,1.03E-04
0.6675,1.35E-05,-0.534,1.05E-04
0.6712,1.37E-05,-0.537,1.07E-04
0.675,1.39E-05,-0.54,1.08E-04
0.6787,1.42E-05,-0.543,1.11E-04
0.6825,1.43E-05,-0.546,1.12E-04
0.6862,1.46E-05,-0.549,1.14E-04
0.69,1.47E-05,-0.552,1.15E-04
0.6937,1.49E-05,-0.555,1.18E-04
0.6975,1.51E-05,-0.558,1.19E-04
0.7013,1.54E-05,-0.561,1.21E-04
0.705,1.56E-05,-0.564,1.22E-04
0.7087,1.58E-05,-0.567,1.25E-04
0.7125,1.59E-05,-0.57,1.27E-04
0.7163,1.62E-05,-0.573,1.29E-04
0.72,1.64E-05,-0.576,1.31E-04
0.7237,1.67E-05,-0.579,1.33E-04
0.7275,1.70E-05,-0.582,1.35E-04
0.7312,1.72E-05,-0.585,1.37E-04
0.735,1.75E-05,-0.588,1.39E-04
0.7387,1.75E-05,-0.591,1.43E-04
0.7425,1.79E-05,-0.594,1.45E-04
0.7462,1.82E-05,-0.597,1.47E-04
0.75,1.84E-05,-0.6,1.49E-04
0.7537,1.86E-05,-0.603,1.52E-04
0.7575,1.88E-05,-0.606,1.55E-04
0.7612,1.91E-05,-0.609,1.58E-04
0.765,1.95E-05,-0.612,1.59E-04
0.7688,1.97E-05,-0.615,1.62E-04
0.7725,2.00E-05,-0.618,1.64E-04
0.7762,2.03E-05,-0.621,1.71E-04
0.78,2.06E-05,-0.624,1.73E-04
0.7837,2.09E-05,-0.627,1.77E-04
0.7875,2.11E-05,-0.63,1.80E-04
0.7912,2.13E-05,-0.633,1.85E-04
0.795,2.17E-05,-0.636,1.92E-04
0.7987,2.20E-05,-0.639,1.97E-04
0.8025,2.23E-05,-0.642,2.01E-04
0.8062,2.26E-05,-0.645,2.03E-04
0.81,2.29E-05,-0.648,2.03E-04
0.8137,2.34E-05,-0.651,2.06E-04
0.8175,2.36E-05,-0.654,2.15E-04
0.8212,2.41E-05,-0.657,2.20E-04
0.825,2.44E-05,-0.66,2.24E-04
0.8287,2.47E-05,-0.663,2.29E-04
0.8325,2.51E-05,-0.666,2.41E-04
0.8363,2.54E-05,-0.669,2.51E-04
0.84,2.57E-05,-0.672,2.61E-04
0.8437,2.60E-05,-0.675,2.79E-04
0.8475,2.66E-05,-0.678,2.92E-04
0.8512,2.67E-05,-0.681,3.05E-04
0.855,2.71E-05,-0.684,3.24E-04
0.8587,2.75E-05,-0.687,3.41E-04
0.8625,2.77E-05,-0.69,3.62E-04
0.8662,2.82E-05,-0.693,3.90E-04
0.87,2.87E-05,-0.696,4.30E-04
0.8737,2.92E-05,-0.699,4.65E-04
0.8775,2.96E-05,-0.702,4.87E-04
0.8812,3.03E-05,-0.705,4.96E-04
0.885,3.06E-05,-0.708,4.92E-04
0.8887,3.08E-05,-0.711,4.88E-04
0.8925,3.12E-05,-0.714,4.78E-04
0.8962,3.18E-05,-0.717,4.75E-04
0.9,3.23E-05,-0.72,4.69E-04
0.9038,3.27E-05,-0.723,4.67E-04
0.9075,3.32E-05,-0.726,4.65E-04
0.9112,3.39E-05,-0.729,4.64E-04
0.915,3.43E-05,-0.732,4.62E-04
0.9187,3.44E-05,-0.735,4.58E-04
0.9225,3.48E-05,-0.738,4.59E-04
0.9262,3.56E-05,-0.741,4.56E-04
0.93,3.62E-05,-0.744,4.51E-04
0.9337,3.69E-05,-0.747,4.47E-04
0.9375,3.74E-05,-0.75,4.44E-04
0.9412,3.84E-05,-0.753,4.42E-04
0.945,3.90E-05,-0.756,4.40E-04
0.9487,3.95E-05,-0.759,4.38E-04
0.9525,4.01E-05,-0.762,4.35E-04
0.9562,4.03E-05,-0.765,4.34E-04
0.96,4.15E-05,-0.768,4.33E-04
0.9637,4.22E-05,-0.771,4.28E-04
0.9675,4.28E-05,-0.774,4.27E-04
0.9712,4.33E-05,-0.777,4.25E-04
0.975,4.33E-05,-0.78,4.20E-04
0.9787,4.42E-05,-0.783,4.17E-04
0.9825,4.55E-05,-0.786,4.16E-04
0.9862,4.67E-05,-0.789,4.13E-04
0.99,4.72E-05,-0.792,4.08E-04
0.9937,4.85E-05,-0.795,4.04E-04
0.9975,4.91E-05,-0.798,3.99E-04
1.0012,5.01E-05,-0.801,3.99E-04
1.005,5.20E-05,-0.804,3.93E-04
1.0087,5.16E-05,-0.807,3.84E-04
1.0125,5.32E-05,-0.81,3.76E-04
1.0163,5.48E-05,-0.813,3.64E-04
1.02,5.63E-05,-0.816,3.65E-04
1.0237,5.66E-05,-0.819,3.61E-04
1.0275,5.81E-05,-0.822,3.54E-04
1.0312,5.96E-05,-0.825,3.54E-04
1.035,5.95E-05,-0.828,3.48E-04
1.0388,6.02E-05,-0.831,3.41E-04
1.0425,6.08E-05,-0.834,3.51E-04
1.0462,6.29E-05,-0.837,3.35E-04
1.05,6.53E-05,-0.84,3.33E-04
